성별,연령,학력,직업,소득,검색능력,정보판별1(사실확인),정보판별2(근거확인),정보판별3(상업적의도확인),정보판별4(정치적의도확인),SNS피드확인,SNS좋아요댓글,OTT이용빈도,AI인지수준,AI이용여부,소득그룹,소외군라벨,소외이진라벨,AI기기보유율_성별,AI기기보유율_연령,AI기기보유율_소득,학력그룹,AI기기보유율_학력,Active_Score,Info_Literacy_Index,AI_Device
0,6,4,1,5,5,4,4,4,3,4.0,2.0,8.0,2,0,1,1,1,15.3,15.8,17.03,1,9.0,0.5142857142857142,0.6875,0.66571018651363
1,5,4,0,1,5,4,5,5,5,4.0,2.0,8.0,2,0,0,1,1,7.0,20.0,5.37,1,9.0,0.5142857142857142,0.9375,0.41447473298262394
1,2,5,0,1,5,4,4,5,4,4.0,2.0,8.0,3,0,0,2,0,7.0,12.9,5.37,2,19.7,0.5142857142857142,0.8125,0.47186354216483345
0,8,2,1,5,1,1,1,1,1,0.0,0.0,0.0,1,0,1,1,1,15.3,3.0,17.03,1,9.0,0.0,0.0,0.4616610871991073
0,5,4,1,6,5,4,4,4,5,2.0,4.0,8.0,3,0,1,2,0,15.3,20.0,17.03,1,9.0,0.5142857142857142,0.8125,0.7326637972262076
1,5,4,1,5,5,4,4,4,5,2.0,4.0,8.0,3,0,1,2,0,7.0,20.0,17.03,1,9.0,0.5142857142857142,0.8125,0.6003507093894469
0,5,5,1,6,5,4,4,4,3,2.0,4.0,8.0,3,0,1,2,0,15.3,20.0,17.03,2,19.7,0.5142857142857142,0.6875,0.9032360911844414
0,8,4,0,3,5,3,2,3,4,0.0,0.0,4.0,2,0,0,1,1,15.3,3.0,5.37,1,9.0,0.22857142857142856,0.5,0.27578511079228446
1,8,4,0,2,4,4,5,4,4,0.0,0.0,4.0,2,0,0,1,1,7.0,3.0,5.37,1,9.0,0.2,0.8125,0.1434720229555237
1,6,3,1,2,5,3,3,4,3,0.0,0.0,8.0,3,0,0,2,0,7.0,15.8,5.37,1,9.0,0.34285714285714286,0.5625,0.3475211222700463
1,4,5,1,4,5,4,4,4,3,2.0,4.0,8.0,3,0,1,2,0,7.0,17.9,17.03,2,19.7,0.5142857142857142,0.6875,0.7374461979913917
0,6,4,1,6,4,2,1,2,2,6.0,2.0,8.0,3,0,1,2,0,15.3,15.8,17.03,1,9.0,0.5428571428571428,0.1875,0.66571018651363
1,5,4,1,5,5,2,2,3,3,3.0,5.0,8.0,3,0,1,2,0,7.0,20.0,17.03,1,9.0,0.5714285714285714,0.375,0.6003507093894469
1,3,5,0,3,5,3,3,5,3,11.0,10.0,8.0,3,1,0,0,0,7.0,12.9,5.37,2,19.7,0.9428571428571428,0.625,0.47186354216483345
1,2,3,0,1,5,4,3,3,3,11.0,4.0,8.0,2,0,0,1,1,7.0,12.9,5.37,1,9.0,0.7714285714285715,0.5625,0.3012912482065997
0,7,3,1,4,5,3,3,3,2,0.0,0.0,4.0,2,0,1,1,1,15.3,11.4,17.03,1,9.0,0.22857142857142856,0.4375,0.5955683086242628
0,8,3,0,2,1,2,1,1,1,0.0,0.0,0.0,1,0,0,1,1,15.3,3.0,5.37,1,9.0,0.0,0.0625,0.27578511079228446
1,8,3,0,2,2,1,1,2,2,0.0,0.0,0.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.02857142857142857,0.125,0.1434720229555237
0,6,4,1,6,5,3,4,4,3,0.0,0.0,4.0,2,0,1,1,1,15.3,15.8,17.03,1,9.0,0.22857142857142856,0.625,0.66571018651363
1,6,4,1,4,5,3,4,4,3,0.0,0.0,4.0,2,0,1,1,1,7.0,15.8,17.03,1,9.0,0.22857142857142856,0.625,0.5333970986768691
0,3,5,0,1,5,4,5,5,4,3.0,2.0,5.0,3,0,0,2,0,15.3,12.9,5.37,2,19.7,0.4,0.875,0.604176630001594
1,8,2,0,2,1,1,1,1,1,0.0,0.0,0.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.0,0.0,0.1434720229555237
1,8,2,0,2,1,1,1,1,1,0.0,0.0,0.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.0,0.0,0.1434720229555237
0,8,4,1,4,1,2,2,1,1,0.0,0.0,0.0,1,0,1,1,1,15.3,3.0,17.03,1,9.0,0.0,0.125,0.4616610871991073
1,8,3,0,2,1,2,2,1,1,0.0,0.0,0.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.0,0.125,0.1434720229555237
1,5,4,1,4,5,3,4,4,3,3.0,5.0,4.0,2,0,1,1,1,7.0,20.0,17.03,1,9.0,0.45714285714285713,0.625,0.6003507093894469
0,6,4,1,4,5,3,3,2,2,0.0,0.0,4.0,2,0,1,1,1,15.3,15.8,17.03,1,9.0,0.22857142857142856,0.375,0.66571018651363
1,6,4,1,2,5,3,4,4,3,0.0,0.0,4.0,2,0,0,1,1,7.0,15.8,5.37,1,9.0,0.22857142857142856,0.625,0.3475211222700463
1,3,5,1,4,3,4,4,5,5,2.0,4.0,5.0,3,0,1,2,0,7.0,12.9,17.03,2,19.7,0.37142857142857144,0.875,0.6577395185716562
0,6,5,1,5,5,3,4,3,3,4.0,6.0,6.0,2,0,1,1,1,15.3,15.8,17.03,2,19.7,0.5714285714285714,0.5625,0.8362824804718636
1,6,5,1,1,5,3,4,3,3,0.0,0.0,4.0,2,0,0,1,1,7.0,15.8,5.37,2,19.7,0.22857142857142856,0.5625,0.51809341622828
0,4,5,1,5,5,4,5,5,4,2.0,4.0,5.0,2,0,1,1,1,15.3,17.9,17.03,2,19.7,0.42857142857142855,0.875,0.8697592858281525
0,5,4,1,5,5,3,4,3,3,3.0,5.0,4.0,2,0,1,1,1,15.3,20.0,17.03,1,9.0,0.45714285714285713,0.5625,0.7326637972262076
1,8,2,0,2,1,1,1,1,1,0.0,0.0,0.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.0,0.0,0.1434720229555237
0,8,3,1,4,1,1,2,1,1,0.0,0.0,0.0,1,0,1,1,1,15.3,3.0,17.03,1,9.0,0.0,0.0625,0.4616610871991073
1,8,3,0,2,4,2,2,1,2,0.0,0.0,0.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.08571428571428572,0.1875,0.1434720229555237
1,8,2,0,2,1,1,1,1,1,0.0,0.0,0.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.0,0.0,0.1434720229555237
0,8,3,0,2,1,1,1,1,1,0.0,0.0,0.0,1,0,0,1,1,15.3,3.0,5.37,1,9.0,0.0,0.0,0.27578511079228446
1,8,3,0,2,1,1,1,1,1,0.0,0.0,0.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.0,0.0,0.1434720229555237
0,8,3,0,2,1,1,1,1,1,0.0,0.0,0.0,1,0,0,1,1,15.3,3.0,5.37,1,9.0,0.0,0.0,0.27578511079228446
1,8,3,0,2,1,1,1,1,1,0.0,0.0,0.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.0,0.0,0.1434720229555237
0,6,5,1,5,5,4,3,3,3,0.0,0.0,7.0,2,0,1,1,1,15.3,15.8,17.03,2,19.7,0.3142857142857143,0.5625,0.8362824804718636
0,8,3,0,3,1,1,1,1,1,0.0,0.0,0.0,1,0,0,1,1,15.3,3.0,5.37,1,9.0,0.0,0.0,0.27578511079228446
1,8,2,0,3,1,2,1,1,1,0.0,0.0,0.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.0,0.0625,0.1434720229555237
0,8,2,0,3,1,1,1,1,1,0.0,0.0,0.0,1,0,0,1,1,15.3,3.0,5.37,1,9.0,0.0,0.0,0.27578511079228446
1,8,2,1,3,1,1,1,1,1,0.0,0.0,0.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.0,0.0,0.1434720229555237
1,8,2,1,3,1,1,1,1,1,0.0,0.0,0.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.0,0.0,0.1434720229555237
0,3,5,0,3,5,2,3,3,2,4.0,4.0,8.0,3,1,0,0,0,15.3,12.9,5.37,2,19.7,0.5714285714285714,0.375,0.604176630001594
1,6,4,0,3,4,1,1,1,1,0.0,0.0,7.0,2,0,0,1,1,7.0,15.8,5.37,1,9.0,0.2857142857142857,0.0,0.3475211222700463
0,5,5,1,6,5,3,3,3,3,4.0,5.0,6.0,3,0,1,2,0,15.3,20.0,17.03,2,19.7,0.5428571428571428,0.5,0.9032360911844414
1,5,5,0,1,5,3,3,3,3,4.0,5.0,6.0,3,1,0,0,0,7.0,20.0,5.37,2,19.7,0.5428571428571428,0.5,0.5850470269408575
0,2,4,0,1,5,3,3,2,2,5.0,5.0,6.0,3,1,0,0,0,15.3,12.9,5.37,1,9.0,0.5714285714285714,0.375,0.4336043360433605
0,6,5,1,6,4,3,3,3,3,4.0,5.0,5.0,3,0,1,2,0,15.3,15.8,17.03,2,19.7,0.4857142857142857,0.5,0.8362824804718636
1,6,4,0,1,5,3,3,3,3,4.0,5.0,6.0,3,0,0,2,0,7.0,15.8,5.37,1,9.0,0.5428571428571428,0.5,0.3475211222700463
1,3,5,0,1,5,3,3,3,3,4.0,6.0,5.0,3,1,0,0,0,7.0,12.9,5.37,2,19.7,0.5428571428571428,0.5,0.47186354216483345
0,6,5,1,7,5,3,3,3,3,5.0,5.0,5.0,3,1,2,0,0,15.3,15.8,23.1,2,19.7,0.5428571428571428,0.5,0.9330463892874225
1,6,5,0,1,5,4,4,3,3,4.0,4.0,5.0,3,0,0,2,0,7.0,15.8,5.37,2,19.7,0.4857142857142857,0.625,0.51809341622828
0,3,5,0,1,5,4,4,4,4,4.0,6.0,5.0,3,1,0,0,0,15.3,12.9,5.37,2,19.7,0.5428571428571428,0.75,0.604176630001594
0,6,5,1,5,5,3,3,3,3,4.0,5.0,5.0,3,0,1,2,0,15.3,15.8,17.03,2,19.7,0.5142857142857142,0.5,0.8362824804718636
1,5,4,1,4,5,3,3,3,3,4.0,6.0,8.0,3,0,1,2,0,7.0,20.0,17.03,1,9.0,0.6285714285714286,0.5,0.6003507093894469
0,3,5,0,1,5,4,4,3,3,4.0,5.0,5.0,3,1,0,0,0,15.3,12.9,5.37,2,19.7,0.5142857142857142,0.625,0.604176630001594
0,6,4,1,5,5,3,3,3,3,4.0,5.0,6.0,3,0,1,2,0,15.3,15.8,17.03,1,9.0,0.5428571428571428,0.5,0.66571018651363
1,6,4,1,5,5,3,3,3,3,4.0,5.0,5.0,2,0,1,1,1,7.0,15.8,17.03,1,9.0,0.5142857142857142,0.5,0.5333970986768691
0,3,5,0,1,5,3,4,4,3,4.0,5.0,5.0,3,1,0,0,0,15.3,12.9,5.37,2,19.7,0.5142857142857142,0.625,0.604176630001594
0,6,5,1,6,5,4,4,3,3,4.0,4.0,6.0,3,1,1,0,0,15.3,15.8,17.03,2,19.7,0.5142857142857142,0.625,0.8362824804718636
1,5,6,1,5,5,3,3,3,3,4.0,5.0,5.0,3,1,1,0,0,7.0,20.0,17.03,3,0.0,0.5142857142857142,0.5,0.45687868643392326
0,2,4,0,1,5,3,3,3,2,5.0,5.0,6.0,3,1,0,0,0,15.3,12.9,5.37,1,9.0,0.5714285714285714,0.4375,0.4336043360433605
0,7,4,1,4,4,3,2,2,2,3.0,4.0,5.0,2,0,1,1,1,15.3,11.4,17.03,1,9.0,0.42857142857142855,0.3125,0.5955683086242628
1,7,4,1,4,4,2,2,2,2,3.0,4.0,6.0,2,0,1,1,1,7.0,11.4,17.03,1,9.0,0.45714285714285713,0.25,0.46325522078750203
0,8,3,1,3,1,2,2,2,2,0.0,0.0,0.0,2,0,0,1,1,15.3,3.0,5.37,1,9.0,0.0,0.25,0.27578511079228446
1,8,3,0,2,1,1,1,1,1,0.0,0.0,0.0,2,0,0,1,1,7.0,3.0,5.37,1,9.0,0.0,0.0,0.1434720229555237
0,8,3,1,3,1,1,1,1,1,0.0,0.0,0.0,1,0,0,1,1,15.3,3.0,5.37,1,9.0,0.0,0.0,0.27578511079228446
1,8,2,0,2,1,1,1,1,1,0.0,0.0,0.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.0,0.0,0.1434720229555237
0,7,4,1,6,5,4,3,3,4,0.0,0.0,4.0,4,0,1,2,0,15.3,11.4,17.03,1,9.0,0.22857142857142856,0.625,0.5955683086242628
1,7,4,1,4,5,4,3,3,4,2.0,2.0,4.0,3,0,1,2,0,7.0,11.4,17.03,1,9.0,0.34285714285714286,0.625,0.46325522078750203
1,7,4,0,2,3,3,3,2,3,2.0,2.0,6.0,3,0,0,2,0,7.0,11.4,5.37,1,9.0,0.34285714285714286,0.4375,0.27737924438067907
1,8,2,0,3,1,1,1,1,1,0.0,0.0,0.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.0,0.0,0.1434720229555237
0,6,4,1,3,1,2,2,2,2,0.0,0.0,0.0,2,0,0,1,1,15.3,15.8,5.37,1,9.0,0.0,0.25,0.479834210106807
1,6,4,0,2,2,2,2,2,2,0.0,0.0,0.0,2,0,0,1,1,7.0,15.8,5.37,1,9.0,0.02857142857142857,0.25,0.3475211222700463
0,8,4,1,4,1,4,4,4,4,0.0,0.0,0.0,3,0,1,2,0,15.3,3.0,17.03,1,9.0,0.0,0.75,0.4616610871991073
1,8,3,1,3,1,1,1,1,1,0.0,0.0,0.0,2,0,0,1,1,7.0,3.0,5.37,1,9.0,0.0,0.0,0.1434720229555237
0,7,4,1,4,1,3,2,3,3,0.0,0.0,0.0,2,0,1,1,1,15.3,11.4,17.03,1,9.0,0.0,0.4375,0.5955683086242628
1,7,4,0,2,1,1,1,1,1,0.0,0.0,0.0,2,0,0,1,1,7.0,11.4,5.37,1,9.0,0.0,0.0,0.27737924438067907
1,6,5,0,2,5,3,3,3,3,2.0,2.0,5.0,3,0,0,2,0,7.0,15.8,5.37,2,19.7,0.37142857142857144,0.5,0.51809341622828
0,7,4,1,4,1,4,4,3,4,0.0,0.0,0.0,3,0,1,2,0,15.3,11.4,17.03,1,9.0,0.0,0.6875,0.5955683086242628
1,7,4,0,2,2,2,2,1,1,0.0,0.0,7.0,2,0,0,1,1,7.0,11.4,5.37,1,9.0,0.22857142857142856,0.125,0.27737924438067907
0,8,3,0,2,3,1,2,2,2,0.0,0.0,5.0,2,0,0,1,1,15.3,3.0,5.37,1,9.0,0.2,0.1875,0.27578511079228446
0,6,5,1,6,5,5,5,5,5,2.0,2.0,4.0,2,0,1,1,1,15.3,15.8,17.03,2,19.7,0.34285714285714286,1.0,0.8362824804718636
1,5,4,1,5,4,5,5,5,5,2.0,2.0,4.0,2,0,1,1,1,7.0,20.0,17.03,1,9.0,0.3142857142857143,1.0,0.6003507093894469
0,6,5,1,6,4,3,4,3,3,2.0,2.0,4.0,2,0,1,1,1,15.3,15.8,17.03,2,19.7,0.3142857142857143,0.5625,0.8362824804718636
1,5,4,1,4,3,4,3,4,4,2.0,2.0,5.0,2,0,1,1,1,7.0,20.0,17.03,1,9.0,0.3142857142857143,0.6875,0.6003507093894469
1,3,5,0,1,3,4,4,4,4,2.0,2.0,2.0,3,1,0,0,0,7.0,12.9,5.37,2,19.7,0.22857142857142856,0.75,0.47186354216483345
0,6,4,1,5,2,3,3,2,3,6.0,5.0,4.0,3,0,1,2,0,15.3,15.8,17.03,1,9.0,0.45714285714285713,0.4375,0.66571018651363
1,6,4,1,4,2,3,2,3,4,0.0,0.0,4.0,3,0,1,2,0,7.0,15.8,17.03,1,9.0,0.14285714285714285,0.5,0.5333970986768691
0,5,5,1,6,5,2,3,2,2,0.0,0.0,7.0,3,0,1,2,0,15.3,20.0,17.03,2,19.7,0.3142857142857143,0.3125,0.9032360911844414
1,5,5,1,5,5,3,3,2,3,3.0,2.0,7.0,3,0,1,2,0,7.0,20.0,17.03,2,19.7,0.45714285714285713,0.4375,0.7709230033476806
0,6,4,1,7,5,3,3,3,4,0.0,0.0,4.0,3,1,2,0,0,15.3,15.8,23.1,1,9.0,0.22857142857142856,0.5625,0.7624740953291886
0,6,4,1,5,5,3,2,2,1,2.0,2.0,4.0,2,0,1,1,1,15.3,15.8,17.03,1,9.0,0.34285714285714286,0.25,0.66571018651363
1,8,2,0,4,1,1,1,1,1,0.0,0.0,0.0,1,0,1,1,1,7.0,3.0,17.03,1,9.0,0.0,0.0,0.3293479993623466
0,5,5,1,6,5,4,4,4,4,4.0,2.0,4.0,2,0,1,1,1,15.3,20.0,17.03,2,19.7,0.4,0.75,0.9032360911844414
0,6,5,1,5,5,5,4,5,5,10.0,4.0,8.0,4,0,1,2,0,15.3,15.8,17.03,2,19.7,0.7428571428571429,0.9375,0.8362824804718636
1,6,5,1,5,5,4,5,5,5,10.0,4.0,7.0,4,0,1,2,0,7.0,15.8,17.03,2,19.7,0.7142857142857143,0.9375,0.7039693926351028
0,3,5,0,1,5,5,4,5,4,10.0,4.0,8.0,4,0,0,2,0,15.3,12.9,5.37,2,19.7,0.7428571428571429,0.875,0.604176630001594
0,3,5,0,1,5,5,5,5,4,10.0,4.0,8.0,4,0,0,2,0,15.3,12.9,5.37,2,19.7,0.7428571428571429,0.9375,0.604176630001594
0,7,3,1,5,5,5,4,5,5,9.0,4.0,8.0,2,0,1,1,1,15.3,11.4,17.03,1,9.0,0.7142857142857143,0.9375,0.5955683086242628
1,7,4,1,4,5,4,4,5,5,9.0,4.0,7.0,2,0,1,1,1,7.0,11.4,17.03,1,9.0,0.6857142857142857,0.875,0.46325522078750203
0,5,5,1,5,5,5,4,5,5,10.0,4.0,8.0,4,0,1,2,0,15.3,20.0,17.03,2,19.7,0.7428571428571429,0.9375,0.9032360911844414
0,5,5,1,7,5,5,5,5,5,10.0,5.0,8.0,4,0,2,2,0,15.3,20.0,23.1,2,19.7,0.7714285714285715,1.0,1.0
1,4,5,1,5,5,5,4,5,5,10.0,5.0,7.0,4,0,1,2,0,7.0,17.9,17.03,2,19.7,0.7428571428571429,0.9375,0.7374461979913917
0,5,5,1,6,5,5,5,5,5,10.0,4.0,8.0,4,0,1,2,0,15.3,20.0,17.03,2,19.7,0.7428571428571429,1.0,0.9032360911844414
1,5,4,1,5,5,5,5,5,5,10.0,4.0,7.0,4,0,1,2,0,7.0,20.0,17.03,1,9.0,0.7142857142857143,1.0,0.6003507093894469
0,2,3,0,1,5,5,5,4,4,9.0,4.0,8.0,4,0,0,2,0,15.3,12.9,5.37,1,9.0,0.7142857142857143,0.875,0.4336043360433605
0,2,3,0,1,5,5,5,5,5,10.0,4.0,8.0,4,0,0,2,0,15.3,12.9,5.37,1,9.0,0.7428571428571429,1.0,0.4336043360433605
1,8,2,0,3,3,2,1,2,1,0.0,0.0,0.0,2,0,0,1,1,7.0,3.0,5.37,1,9.0,0.05714285714285714,0.125,0.1434720229555237
1,8,4,0,2,1,1,1,1,1,0.0,0.0,8.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.22857142857142856,0.0,0.1434720229555237
0,5,5,1,6,5,2,1,2,2,5.0,4.0,6.0,2,0,1,1,1,15.3,20.0,17.03,2,19.7,0.5428571428571428,0.1875,0.9032360911844414
1,5,5,1,5,5,1,1,1,1,5.0,4.0,8.0,2,0,1,1,1,7.0,20.0,17.03,2,19.7,0.6,0.0,0.7709230033476806
0,8,5,0,4,5,1,1,1,1,6.0,8.0,8.0,2,0,1,1,1,15.3,3.0,17.03,2,19.7,0.7428571428571429,0.0,0.6322333811573411
1,7,4,0,2,5,1,1,1,1,0.0,0.0,8.0,2,0,0,1,1,7.0,11.4,5.37,1,9.0,0.34285714285714286,0.0,0.27737924438067907
1,4,5,1,6,5,1,1,1,1,9.0,10.0,8.0,2,0,1,1,1,7.0,17.9,17.03,2,19.7,0.8857142857142857,0.0,0.7374461979913917
0,7,3,1,5,5,2,1,1,1,5.0,5.0,7.0,2,0,1,1,1,15.3,11.4,17.03,1,9.0,0.6,0.0625,0.5955683086242628
1,7,3,0,2,5,1,1,1,1,0.0,0.0,8.0,1,0,0,1,1,7.0,11.4,5.37,1,9.0,0.34285714285714286,0.0,0.27737924438067907
0,4,5,1,6,5,1,1,1,1,6.0,8.0,8.0,3,0,1,2,0,15.3,17.9,17.03,2,19.7,0.7428571428571429,0.0,0.8697592858281525
1,8,2,0,2,1,1,1,1,1,0.0,0.0,0.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.0,0.0,0.1434720229555237
1,8,4,0,3,5,1,1,1,1,0.0,0.0,8.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.34285714285714286,0.0,0.1434720229555237
1,7,3,1,4,5,4,4,4,3,9.0,2.0,7.0,2,0,1,1,1,7.0,11.4,17.03,1,9.0,0.6285714285714286,0.6875,0.46325522078750203
0,4,4,1,4,5,5,4,4,3,10.0,2.0,7.0,3,0,1,2,0,15.3,17.9,17.03,1,9.0,0.6571428571428571,0.75,0.6991869918699188
1,8,2,0,4,5,4,5,5,4,0.0,0.0,8.0,2,0,1,1,1,7.0,3.0,17.03,1,9.0,0.34285714285714286,0.875,0.3293479993623466
0,8,3,1,4,5,5,4,5,5,9.0,4.0,8.0,2,0,1,1,1,15.3,3.0,17.03,1,9.0,0.7142857142857143,0.9375,0.4616610871991073
1,8,3,0,1,5,4,5,5,4,9.0,4.0,8.0,2,0,0,1,1,7.0,3.0,5.37,1,9.0,0.7142857142857143,0.875,0.1434720229555237
0,7,4,0,4,5,5,5,4,4,10.0,4.0,8.0,2,0,1,1,1,15.3,11.4,17.03,1,9.0,0.7428571428571429,0.875,0.5955683086242628
1,7,4,0,1,5,5,4,5,5,10.0,2.0,6.0,2,0,0,1,1,7.0,11.4,5.37,1,9.0,0.6285714285714286,0.9375,0.27737924438067907
0,4,5,1,6,5,5,4,5,5,10.0,4.0,8.0,4,0,1,2,0,15.3,17.9,17.03,2,19.7,0.7428571428571429,0.9375,0.8697592858281525
1,4,5,0,4,5,5,5,5,4,10.0,4.0,8.0,4,0,1,2,0,7.0,17.9,17.03,2,19.7,0.7428571428571429,0.9375,0.7374461979913917
1,1,2,0,1,5,4,4,5,5,0.0,0.0,7.0,3,0,0,2,0,7.0,,5.37,1,9.0,0.3142857142857143,0.875,0.2092034645836655
1,8,4,0,4,3,4,4,4,4,0.0,0.0,0.0,1,0,1,1,1,7.0,3.0,17.03,1,9.0,0.05714285714285714,0.75,0.3293479993623466
1,8,3,0,3,1,1,1,1,1,0.0,0.0,0.0,2,0,0,1,1,7.0,3.0,5.37,1,9.0,0.0,0.0,0.1434720229555237
0,5,6,1,8,5,5,5,5,5,6.0,4.0,8.0,3,1,2,0,0,15.3,20.0,23.1,3,0.0,0.6285714285714286,1.0,0.6859556830862428
1,5,5,1,4,5,4,4,4,4,5.0,4.0,8.0,2,0,1,1,1,7.0,20.0,17.03,2,19.7,0.6,0.75,0.7709230033476806
1,3,5,0,1,5,3,3,2,2,11.0,8.0,8.0,1,0,0,1,1,7.0,12.9,5.37,2,19.7,0.8857142857142857,0.375,0.47186354216483345
1,2,4,0,1,5,2,2,2,2,11.0,10.0,8.0,1,0,0,1,1,7.0,12.9,5.37,1,9.0,0.9428571428571428,0.25,0.3012912482065997
0,6,4,1,7,1,1,1,1,1,0.0,0.0,3.0,2,0,2,1,1,15.3,15.8,23.1,1,9.0,0.08571428571428572,0.0,0.7624740953291886
1,5,4,1,4,5,4,4,4,4,11.0,10.0,8.0,1,0,1,1,1,7.0,20.0,17.03,1,9.0,0.9428571428571428,0.75,0.6003507093894469
0,3,5,1,4,5,3,3,3,3,11.0,8.0,8.0,2,0,1,1,1,15.3,12.9,17.03,2,19.7,0.8857142857142857,0.5,0.7900526064084172
1,3,5,0,1,5,3,3,3,3,10.0,8.0,8.0,1,0,0,1,1,7.0,12.9,5.37,2,19.7,0.8571428571428571,0.5,0.47186354216483345
0,8,3,0,4,1,1,1,1,1,0.0,0.0,0.0,1,0,1,1,1,15.3,3.0,17.03,1,9.0,0.0,0.0,0.4616610871991073
1,8,3,0,2,1,1,1,1,1,0.0,0.0,0.0,1,0,0,1,1,7.0,3.0,5.37,1,9.0,0.0,0.0,0.1434720229555237
0,7,5,1,8,5,3,4,3,3,3.0,5.0,7.0,3,0,2,2,0,15.3,11.4,23.1,2,19.7,0.5428571428571428,0.5625,0.8629045113980552
1,6,5,0,1,5,3,4,3,3,4.0,6.0,8.0,2,0,0,1,1,7.0,15.8,5.37,2,19.7,0.6285714285714286,0.5625,0.51809341622828
1,3,5,1,5,5,4,4,4,4,4.0,5.0,8.0,3,0,1,2,0,7.0,12.9,17.03,2,19.7,0.6,0.75,0.6577395185716562
0,3,5,1,5,5,4,4,3,4,4.0,6.0,8.0,3,0,1,2,0,15.3,12.9,17.03,2,19.7,0.6285714285714286,0.6875,0.7900526064084172
0,6,5,1,7,5,1,1,1,1,0.0,0.0,8.0,3,0,2,2,0,15.3,15.8,23.1,2,19.7,0.34285714285714286,0.0,0.9330463892874225
1,5,5,1,6,5,1,1,1,1,0.0,0.0,6.0,2,0,1,1,1,7.0,20.0,17.03,2,19.7,0.2857142857142857,0.0,0.7709230033476806
1,3,5,1,6,5,1,2,1,2,9.0,8.0,8.0,3,0,1,2,0,7.0,12.9,17.03,2,19.7,0.8285714285714286,0.125,0.6577395185716562
0,6,5,1,6,3,3,4,4,3,3.0,5.0,8.0,2,0,1,1,1,15.3,15.8,17.03,2,19.7,0.5142857142857142,0.625,0.8362824804718636
1,5,4,0,1,3,4,5,5,4,10.0,7.0,5.0,3,1,0,0,0,7.0,20.0,5.37,1,9.0,0.6857142857142857,0.875,0.41447473298262394
0,3,5,0,1,5,4,4,5,4,2.0,4.0,8.0,3,1,0,0,0,15.3,12.9,5.37,2,19.7,0.5142857142857142,0.8125,0.604176630001594
0,6,4,1,6,3,4,3,3,4,6.0,6.0,8.0,3,0,1,2,0,15.3,15.8,17.03,1,9.0,0.6285714285714286,0.625,0.66571018651363
1,5,5,0,1,5,4,3,3,4,4.0,4.0,8.0,3,0,0,2,0,7.0,20.0,5.37,2,19.7,0.5714285714285714,0.625,0.5850470269408575
1,3,5,1,5,5,4,4,3,4,6.0,6.0,8.0,3,1,1,0,0,7.0,12.9,17.03,2,19.7,0.6857142857142857,0.6875,0.6577395185716562
0,6,5,1,6,5,4,3,3,4,5.0,2.0,7.0,2,0,1,1,1,15.3,15.8,17.03,2,19.7,0.5142857142857142,0.625,0.8362824804718636
1,5,5,0,1,5,4,3,3,4,4.0,6.0,8.0,3,0,0,2,0,7.0,20.0,5.37,2,19.7,0.6285714285714286,0.625,0.5850470269408575
0,3,5,0,1,5,4,3,3,4,4.0,5.0,8.0,3,0,0,2,0,15.3,12.9,5.37,2,19.7,0.6,0.625,0.604176630001594
1,7,4,0,1,5,3,2,4,3,0.0,0.0,7.0,3,0,0,2,0,7.0,11.4,5.37,1,9.0,0.3142857142857143,0.5,0.27737924438067907
1,5,5,1,5,5,4,4,3,3,4.0,6.0,8.0,3,0,1,2,0,7.0,20.0,17.03,2,19.7,0.6285714285714286,0.625,0.7709230033476806
0,5,5,1,6,5,3,3,4,4,3.0,6.0,7.0,3,1,1,0,0,15.3,20.0,17.03,2,19.7,0.5714285714285714,0.625,0.9032360911844414
0,6,4,1,5,5,3,2,2,3,3.0,5.0,8.0,3,0,1,2,0,15.3,15.8,17.03,1,9.0,0.5714285714285714,0.375,0.66571018651363
1,6,4,0,1,5,3,3,4,3,5.0,6.0,4.0,3,1,0,0,0,7.0,15.8,5.37,1,9.0,0.5428571428571428,0.5625,0.3475211222700463
1,3,5,1,5,5,3,4,4,3,3.0,5.0,8.0,4,0,1,2,0,7.0,12.9,17.03,2,19.7,0.5714285714285714,0.625,0.6577395185716562
0,8,2,1,2,4,3,3,2,2,0.0,0.0,4.0,3,0,0,2,0,15.3,3.0,5.37,1,9.0,0.2,0.375,0.27578511079228446
